"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","FID","new_Lat","new_Lon","notes"
"1",NA,"UFRB","HURB","17121","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima",NA,NA,NA,NA,NA,"Almeida, T.",2016,4,20,"brazil","bahia","salvador","Ipitanga; APA Joanes",NA,NA,"P226 A2","BRA:UFRB:HURB:0000017121",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3474,-12.871185,-12.871185,"centroide mpo"
"2",NA,"Universidade Federal da Bahia (UFBA)","ALCB","118004","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima","Cardoso, D","2015-01-01T00:00:00.000+0000",NA,"23065",NA,"Guedes, ML; Kelmo, F; Alunos de Kelmo da Disciplina Ecologia",2014,11,7,"brazil","bahia","marau","Litoral Sul, Barra Grande, Ponto 01",-38.933333,-13.95,"Folhas com folíolos coriáceos, discolores. Inflorescência ampla, flores com cálice vináceos e pétalas liláses.","BRA:UFBA:ALCB:0000118004",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3329,-13.95,-38.933333,"original coordinates"
"3",NA,"Cenargen","CEN","95112","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima","M. Simon",NA,NA,"2503",NA,"Marcelo Fragomeni Simon",2014,12,14,"brazil","bahia","marau","Península de Maraú, margem leste da lagoa do Cassange.",-38.946388,-14.012222,"Árvore bastante ramificada, 7 m. Casca com fissuras longitudinais. Frutos imaturos.","BRA:Cenargen:CEN:0000095112",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3329,-14.012222,-38.946388,"original coordinates"
"4","2017-10-18T17:03:06.000+0000","JBRJ","RB","RB00573720","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima",NA,NA,NA,"6",NA,"J.Neri; C.N. Fraga; J.E. Meirelles & G. Siqueira",2009,6,28,"brazil","bahia","una","Rodovia Ilhéus - Una, (BA 101) a 42 km de Iheus, proximo a entrda para Rebio, perto do Rio Miruim. Floresta Ombrofila Densa sob Tabuleiro( ou Restinga arbórea)ativo arenoso.",-39.017778,-15.184444,"Arvore de aprox. 2,5 m. frutos grandes.","urn:catalog:JBRJ:RB:573720",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3186,-15.184444,-39.017778,"original coordinates"
"5",NA,"UEFS","HUEFS","142051","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima",NA,NA,NA,"13835",NA,"Queiroz, L.P.de",2008,9,30,"brazil","bahia","una","Entrada da Reserva Biológica de Una.",-39.016944,-15.186389,"Restinga arbórea.","BRA:UEFS:HUEFS:0000142051",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3186,-15.186389,-39.016944,"original coordinates"
"6",NA,"UEFS","HUEFS","142093","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima",NA,NA,NA,"13877",NA,"Queiroz, L.P.de",2008,10,1,"brazil","bahia","marau","Distrito de Saquaíra, ca. 6,0Km de Saquaíra.",-38.953333,-14.028889,"Restinga arbórea.","BRA:UEFS:HUEFS:0000142093",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3329,-14.028889,-38.953333,"original coordinates"
"7",NA,"MBM","MBM","284794","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima","Pennington, RT",NA,NA,"10950",NA,"Thomas, WW; et al.",2002,6,18,"brazil","bahia","ilheus","Rodovia para Maruím",0,0,NA,"BRA:MBM:MBM:0000284794",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,3250,-14.766458,-39.190761,"centroide mpo (0)"
"8",NA,"MBM","MBM","236153","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima","Lima, HC","2009-06-01T00:00:00.000+0000",NA,"68593",NA,"Hatschbach, G; Hatschbach, M; Silva, JM",1998,10,16,"brazil","bahia","olivenca","Parque dos Orixás",0,0,"Árvore, 4m, flor purpúrea, mácula alva. Restinga arbórea","BRA:MBM:MBM:0000236153",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,NA,NA,NA,"centroide mpo (0)"
"9",NA,"NY","NY","452264","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima",NA,NA,NA,"1156",NA,"J. G. Jardim",1997,11,4,"brazil","bahia",NA,"Rodovia BA-001 IlhÃ©us/Una, ca. 41 km. S of IlhÃ©us",-39.0751882637406,-15.2970177652254,NA,"937caa86-7e83-4f63-8111-e5535d0ad5e6",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,NA,-15.2970177652254,-39.0751882637406,"original coordinates"
"10","2012-07-05T17:31:24.000+0000","MEL","MEL","MEL 0253164A","Andira carvalhoi R.T.Penn. & H.C.Lima","Fabaceae","Andira","carvalhoi","R.T.Penn. & H.C.Lima","Thomas, W.W.","1997-01-01T00:00:00.000+0000",NA,"10950",10950,"Thomas, W.W.",1995,5,21,"brazil","bahia",NA,"Municipio Ilheus: 8.9 Km SW of Olivenca on road to Maruim (off road to Vila Brasil).",-39.0392,-14.9936,"Shrub or small tree, 1.5-3 m; leaflets coriaceus, revolute, shiny olive green above; fruit tan.","8695a262-8dac-457d-8d99-26d558499884",NA,"Andira carvalhoi R.T.Penn. & H.C.Lima",NA,NA,NA,NA,-14.9936,-39.0392,"original coordinates"
