"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","fieldNumber","comments"
"1",NA,"US","Botany","3594526","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos",NA,NA,NA,"6475","A. M. Carvalho, S. C. Sant'Ana, J. G. Járdim & M. Landi",1998,1,28,"Brazil","Bahia",NA,"Reboio de Una. Municipio de Una, Reserva Biologica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilheus/Una. Regiao da Mata Higrofila Sul Baiana. Enterno da Rebio. Margem di Rio Maruim. Projeto de Eco-turismo do IESB",-39.08,-15.15,NA,"http://n2t.net/ark:/65665/3647a8546-c0b4-4426-9060-1ec3eb1e3d9b",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"2",NA,"Universidade Federal da Bahia (UFBA)","ALCB","042526","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Amorim, AMA","1998-01-01T00:00:00.000+0000",NA,"6475","Carvalho, AM de; Sant'Ana, SC de; Jardim, J; Landi, M",1998,1,28,"Brazil","Bahia","Una","Litoral Sul, Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Margem do rio Maruim",-39.083333,-15.15,"Com ca. de 6,0m de altura. Folhas com folíolos discolores com face superior lúcida e inferior mais clara. Frutos imaturos verdes.","BRA:UFBA:ALCB:0000042526",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"3",NA,"UEFS","HUEFS","115451","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","W.São-Mateus","2012-07-01T00:00:00.000+0000",NA,"1908","Amorim, A.M.",1996,1,24,"Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no Km 46 da Rod. BA-001. Ilhéus / Una.",-39.55,-17.016667,"Região de Mata Higrófila Sul Baiana.","BRA:UEFS:HUEFS:0000115451",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"4",NA,"US","Botany","3517370","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos",NA,NA,NA,"1908","A. M. Amorim, S. C. Sant'Ana, J. G. Járdim, L. Sylvestre & et al.",1996,1,24,"Brazil","Bahia",NA,"Da Reibo De Una. Municipio de Una, Reserva Biologica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilheus/Una. Regiao da Mata Higrofila Sul Balana. Coletas efetuadas na estrada que leva a sede da reserva",-39.08,-15.15,NA,"http://n2t.net/ark:/65665/367659468-161c-480c-bfbd-7067342d6148",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"5","2007-03-15T11:12:57.000+0000","K","Herbarium","K000187846","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Pennington, R.T.",NA,NA,"1908","Sant'Ana, S.C.; Jardim, J.G.; Sylvestre, L.S.; Marques, E.L.; Freitas, M.F.; Amorim, A.M",1996,1,24,"Brazil",NA,"Una","Reserva Biológica do Mico-leao, entrada no km 46 da BA-001, Ilhéus-Una",-39.08,-15.15,NA,"http://specimens.kew.org/herbarium/K000187846",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"6",NA,"MBML","MBML-HERBARIO","6902","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Toby Pennington",NA,NA,"583","J. G. Jardim; et al",1994,10,18,"Brazil","Bahia","Una",NA,-39.083333,-15.15,"Árvore com ca. 20m X 40cm de diâmetro, folhas jovens de cor vinosas. Frutos velhos coletados no solo sob a árvore. (recoleta = JJ nº 90).","BRA:MBML:MBML-HERBARIO:0000006902",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"7",NA,"MN","R","188437","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Pennington,T.",NA,NA,"583","Jardim, J.G.",1994,10,18,"Brazil","Bahia","Una","Reserva Biológica do Mico-Leão(IBAMA)",NA,NA,NA,"BRA:MN:R:0000188437",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"8",NA,"IPA","IPA","56564","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Amorim, A.M.; Carvaho","1993-01-01T00:00:00.000+0000",NA,"90","Amorim, A.M.; et al.; et al.",1993,3,9,"Brazil","Bahia","Una","Reserva Biológica do Mico-Leão (IBAMA), Entrada no km-46 da Rodovia BA-001 Ilhéus-Una",-39.083333,-15.15,"Árvore com 20m de altura e 40cm de diâmetro. Folhas com folíolos verdes brilhantes na face superior, opaco na face inferior. Flores velhas roxas, tornando-se enegrecidas. Frutos jovens verde-claros","BRA:IPA:IPA:0000056564",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"9","2014-07-08T04:55:59.000+0000","JBRJ","RB","RB00168818","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Carvalho & Amorim","1993-01-01T00:00:00.000+0000",NA,"90","J. G. Jardim; A. M. Amorim, S. C. Sant´ Ana, E. B. dos Santos e J. L. Hage",1993,3,9,"Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da rod. BA-001 Ilhéus/Una. . Reserva Biológica do Mico-leão",-39.083333,-15.15,"Árvore com 20m de altura e 40cm de diâmetro. Folhas com folíolos verdes brilhantes na face superior, opaco na face inferior. Flores velhas roxa tornando-se enegrecidas. Frutos jovens verde-claros.","urn:catalog:JBRJ:RB:168818",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
"10","2014-07-08T04:55:56.000+0000","JBRJ","RB","RB00168830","Andira marauensis N.F.Mattos",NA,"Fabaceae","Andira","marauensis","N.F.Mattos","Carvalho & Amorim","1993-01-01T00:00:00.000+0000",NA,"1238","A. M. Amorim; S. C. Sant´ Ana, J. G. Jardim, E. B. Santos & J. L. Hage",1993,4,14,"Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da rod. BA-001 Ilhéus/Una. Coletas efetuadas na estrada que leva a sede da reserva. Reserva Biológica do Mico-leão",-39.083333,-15.15,"Árvore com ca. 20m alt. Folíolos verdes, algo discolores, mais claro na face inferior. Frutos imaturos verdes.","urn:catalog:JBRJ:RB:168830",NA,"Andira marauensis N.F.Mattos",NA,NA,NA
