"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","158335","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas","Maas, P.J.M.","2001-01-01T00:00:00.000+0000",NA,"6910","Mike Hopkins",2001,11,4,"Brazil","Amazonas","Rio Negro, rio Içana, 10 minutes by motorboat upstream from mouth of rio Cubate. Hill at left bank. Disturbed forest.",-67.63,0.55,"urn:catalog:inpa:herbarium:91407","Pseudoxandra rionegrensis Maas"
"2",NA,NA,"Botany","U  0068550","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas","Maas PJM",NA,"ISOTYPE",NA,"Maas PJM; et al.",1987,11,4,"Brazil","Amazonas","Brazil. Amazonas: Rio Negro, Rio Içana, 10 minutes by motorboat upstream from mouth of Rio Cubate. Hill at left bank.",-67.633333,0.55,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200068550","Pseudoxandra rionegrensis Maas"
"3",NA,NA,"Botany","U.1080146","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas","Maas PJM",NA,NA,NA,"Stevenson DW; Kawasaki ML; Mueller G; Ramos JF",1987,11,12,"Brazil","Amazonas",NA,-67.366667,0.516667,"http://data.biodiversitydata.nl/naturalis/specimen/U.1080146","Pseudoxandra rionegrensis Maas"
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","167018","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas","Maas, P.J.M.","2001-11-01T00:00:00.000+0000",NA,"898","Mike Hopkins",1987,11,12,"Brazil","Amazonas","Rio Negro, rio Içana, Sero Grilo, hour upstream by motorboat from confluence with rio Negro",-67.37,0.516667,"urn:catalog:inpa:herbarium:193577","Pseudoxandra rionegrensis Maas"
"5",NA,"NY","NY","579313","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,"ISOTYPE","6910","P. J. M. Maas",1987,11,4,"Brazil","Amazonas","Rio Negro, Rio Içana, 10 minutes by motorboat upstream from mouth of Rio Cubate. Hill at left bank.",-67.63,0.55,"1541a245-e8a3-4387-a50b-353ac8336c3f","Pseudoxandra rionegrensis Maas"
"6",NA,NA,"Botany","L.1093893","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093893","Pseudoxandra rionegrensis Maas"
"7",NA,"NY","NY","1147191","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,"898","D. W. Stevenson",NA,NA,NA,"Brazil","Amazonas",NA,0,0,"4a91af61-48f4-4322-bb1f-50a1f79d6d6e","Pseudoxandra rionegrensis Maas"
"8",NA,NA,"Botany","L.1093892","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093892","Pseudoxandra rionegrensis Maas"
"9",NA,NA,"Botany","L.1093894","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093894","Pseudoxandra rionegrensis Maas"
"10",NA,NA,"Botany","L.1093895","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093895","Pseudoxandra rionegrensis Maas"
