"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2016-01-07T16:17:17.000+0000","JBRJ","RB","RB01017512","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","D.A. Folli",NA,NA,7206,"D.A. Folli",2014,5,8,"Brazil","Espírito Santo","Linhares","Estrada Linhares a Fazenda Maria Bonita.",-39.969167,-19.438333,"Terrestre; porte arbóreo, 15m, fuste 8m, CAP fuste 68cm, diâmetro copa 10m; botão verde, flores brancas; fruto maduro marrom; fuste cilíndrico; exsudação seiva, incolor; descamação ausente","urn:catalog:JBRJ:RB:1017512","Alatococcus siqueirae Acev.-Rodr."
"2","2017-10-08T17:21:55.000+0000","JBRJ","RB","RB01040455","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Helton Josué T. Muniz","2014-05-17T00:00:00.000+0000",NA,437,"I.G. Costa",2014,5,17,"Brazil","Rio de Janeiro","Cardoso Moreira","Fazenda Santa Rita, Serra da Bandeira. em mata em regeneração.",-41.554167,-21.556667,"folíolo cartáceo esverdeado.","urn:catalog:JBRJ:RB:1040455","Alatococcus siqueirae Acev.-Rodr."
"3",NA,"Reserva Natural Vale (CVRD)","CVRD","14924","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Domingos A. Folli","2014-05-08T00:00:00.000+0000",NA,7206,"Folli, D.A.",2014,5,8,"Brazil","Es","LINHARES",NA,-39.969167,-19.438333,"<ll>dwc_commonname:</ll> Pitomba do rio doce","BRA:CVRD:CVRD:0000014924","Alatococcus siqueirae Acev.-Rodr."
"4",NA,"US","Botany","3637888","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,"HOLOTYPE",639,"G. S. Siqueira & L. F. Silva Magnago",2011,5,7,"Brazil","Espírito Santo",NA,"Povoacao a Linhares beira rio",NA,NA,NA,"http://n2t.net/ark:/65665/3c287b66f-a2e4-45d7-8271-c1818f2b1f05","Alatococcus siqueirae Acev.-Rodr."
"6",NA,"Reserva Natural Vale (CVRD)","CVRD","13406","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Pedro Acevedo- Rodriguez","2012-03-09T00:00:00.000+0000",NA,639,"Siqueira, G.S. & L.F. Silva Magnago",2011,5,7,"Brazil","Es","LINHARES","Matas de cabrucas de cacau",-39.844491,-19.550072,"S ""19°33'00.2"" W "" 39°50'40.2"" el. 27m <ll>dwc_commonname:</ll> Pitomba do rio doce","BRA:CVRD:CVRD:0000013406","Alatococcus siqueirae Acev.-Rodr."
"7","2017-11-14T11:06:22.000+0000","K","Herbarium","K000543922","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Acevedo-Rodr., P.",NA,"ISOTYPE",639,"Siqueira, G.S.; Silva Magnago, L.F.",2011,5,7,"Brazil",NA,NA,"Linhares, prvoacao a Linhares beira rio",-39.83,-19.55,"nome vulgar: Pitomba do rio doce","http://specimens.kew.org/herbarium/K000543922","Alatococcus siqueirae Acev.-Rodr."
"11",NA,"US","Botany","3637887","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,NA,6734,"D. Folli",2010,10,26,"Brazil","Espírito Santo",NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/32d3fdde1-a9dc-471d-9526-e79d8690ecb1","Alatococcus siqueirae Acev.-Rodr."
"12",NA,"Reserva Natural Vale (CVRD)","CVRD","13191","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Pedro Acevedo- Rodriguez","2012-03-09T00:00:00.000+0000",NA,6734,"Folli, D.A.",2010,10,26,"Brazil","Es","LINHARES","S 19°26'18 W 39°58'09",-39.969167,-19.438333,"<ll>dwc_commonname:</ll> Baratinha","BRA:CVRD:CVRD:0000013191","Alatococcus siqueirae Acev.-Rodr."
"13",NA,"Reserva Natural Vale (CVRD)","CVRD","4127","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Pedro Acevedo- Rodriguez","2012-03-09T00:00:00.000+0000",NA,1761,"Folli, D.A.",1992,12,17,"Brazil","Es","LARANJA DA TERRA","Lado direito da estrada de Joatuba a Laranja da Terra.",NA,NA,"<ll>dwc_commonname:</ll> Baratinha","BRA:CVRD:CVRD:0000004127","Alatococcus siqueirae Acev.-Rodr."
"16","2015-03-09T16:35:24.000+0000","JBRJ","RB","RB00383533","Alatococcus siqueirae Acev.-Rodr.","Sapindaceae","Alatococcus","siqueirae","Acev.-Rodr.","Geovani S. Siqueira",NA,NA,16,"J.C.A. de Lima",1981,5,11,"Brazil","Espírito Santo","Baixo Guandu","Povoado de Barra do Taquaral.",-41.033333,-19.65,"Árvore de aproximadamente 9,0 metros de altura, diâmetro do fuste 0,15 m, e diâmetro da copa de 4 m; flores de cálice esverdeado e corola branca. Frequência fraca.","urn:catalog:JBRJ:RB:383533","Alatococcus siqueirae Acev.-Rodr."
