"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","176883","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"2601",NA,"Mike Hopkins",1990,7,15,"Brazil","Mato Grosso",NA,"Paranatinga, Margem direita do Rio Capitão Jaguaribe. Agrochapada.",-54.6,-14.446083,NA,"urn:catalog:inpa:herbarium:93763",NA,"Virola malmei A.C.Sm."
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","164592","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"2975",NA,"Mike Hopkins",1990,10,28,"Brazil","Mato Grosso",NA,"Paranatinga, Margem direita, Córrego Santiago, Agrochapada.",-54.34,-14.5989,NA,"urn:catalog:inpa:herbarium:93875",NA,"Virola malmei A.C.Sm."
"3",NA,"UNICAMP","UEC","44398","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"314",NA,"Oliveira Filho, A.",1985,5,11,"Brazil","Mato Grosso","Chapada dos Guimarães","Salgadeira",0,0,"Árvore ca. 6m alt., flores creme.; Floresta de Galeria.","BRA:UNICAMP:UEC:0000044398",NA,"Virola malmei A.C.Sm."
"4",NA,"NY","NY","00894014","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","W. A. Rodrigues",NA,"4477",NA,"W. W. Thomas",1985,10,17,"Brazil","Mato Grosso",NA,"1-5 km W of BR158, 43 km sul of Porto Alegre do Norte",-51.75,-11.28,NA,"f9d9badc-646d-4414-9a5a-9790088c6957",NA,"Virola malmei A.C.Sm."
"6","2014-04-21T13:18:00.000+0000","MO","MO","100702482","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","W. Rodrigues",NA,"Thomas 4477",NA,"W. Wayt Thomas|José R. Pirani|José Guedes",1985,10,17,"Brazil","Mato Grosso",NA,"1-5 km W of BR158, 43 km S of Porto Alegre do Norte.",-51.75,-11.283333,NA,"urn:catalog:MO:Tropicos:100702482","http://www.tropicos.org/Specimen/100702482","Virola malmei A.C.Sm."
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","98346","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","Rodrigues, W.A.","1981-01-01T00:00:00.000+0000","17071",NA,"Mike Hopkins",1980,9,14,"Brazil","Mato Grosso",NA,"Poxoreu, Parque Lagoa",NA,NA,NA,"urn:catalog:inpa:herbarium:124806",NA,"Virola malmei A.C.Sm."
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","42790","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","Rodrigues, W.A.","1982-01-01T00:00:00.000+0000","19299",NA,"Mike Hopkins",1973,10,22,"Brazil","Mato Grosso",NA,"""Road Buriti to Cuiaba; lower edge of escarpment""",NA,NA,NA,"urn:catalog:inpa:herbarium:142140",NA,"Virola malmei A.C.Sm."
"11","2014-04-21T13:12:00.000+0000","MO","MO","100702479","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","P. Muriel (AAU)","2004-01-01T00:00:00.000+0000","Richards 6536",NA,"Paul W. Richards",1968,7,29,"Brazil","Mato Grosso",NA,"Base Camp. By stream in gallery forest.",NA,NA,NA,"urn:catalog:MO:Tropicos:100702479","http://www.tropicos.org/Specimen/100702479","Virola malmei A.C.Sm."
"12",NA,"NY","NY","00894012","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","P. Muriel",NA,"6536",NA,"P. W. Richards",1968,7,29,"Brazil","Mato Grosso",NA,"Base Camp.",-51.77,-12.82,NA,"9e6b8687-48bf-4bec-8099-06fa0df610c0",NA,"Virola malmei A.C.Sm."
"13",NA,NA,"Botany","U.1429220","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,NA,NA,"Richards PW",1968,7,29,"Brazil",NA,NA,"Central Brazilian Plateau. State of Matom Grosso. Lacre Amarelo Base Camp.",-51.766667,-12.816667,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1429220",NA,"Virola malmei A.C.Sm."
"14",NA,"NY","NY","00894011","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"6446",NA,"H. S. Irwin",1964,9,30,"Brazil","Mato Grosso",NA,"GarapÃº.",-52.57,-13.2,NA,"f8ecba26-aec4-438e-a49f-dae8fd341fce",NA,"Virola malmei A.C.Sm."
"15","2014-07-07T17:53:58.000+0000","JBRJ","RB","RB00520106","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","W.A. Rodrigues",NA,NA,NA,"H.S. Irwin; T.R.Soderstrom",1964,9,30,"Brazil","Mato Grosso","Mato Grosso","Disturbed swampy creek border, Garapú.",NA,NA,"Small tree 3 m x 6 cm. Flowers yellowisch brow.","urn:catalog:JBRJ:RB:520106",NA,"Virola malmei A.C.Sm."
"16",NA,"NY","NY","00894013","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","W. A. Rodrigues",NA,"56267",NA,"B. Maguire",1963,8,25,"Brazil","Mato Grosso",NA,"15-120 km beyond Alto Araguaia, road to Cuiaba. Brasilia-Acre Highway.",0,0,NA,"c1225a37-26fa-40f9-b03e-06745a3936a3",NA,"Virola malmei A.C.Sm."
"17",NA,"UFPR","UPCB","21622","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,NA,NA,"Maguire, B.",1963,8,25,"Brazil","Mato Grosso",NA,"Brasília- Acre Highway, road to Cuiabá.",NA,NA,"Tree, to 10m high, flowers cream. Frequent in cerrado 15-20km beyond Alto Araguaia..","BRA:UFPR:UPCB:0000021622",NA,"Virola malmei A.C.Sm."
"18","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","36266","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.","Rodrigues, W.A.","1975-01-01T00:00:00.000+0000","56267",NA,"Mike Hopkins",1963,8,25,"Brazil","Pará-Acre",NA,"15-120 Km beyond Alto Araguaia, road to Cuiaba, Mato Grosso. Brasíla-Acre",NA,NA,NA,"urn:catalog:inpa:herbarium:96831",NA,"Virola malmei A.C.Sm."
"20",NA,"NY","NY","1594976","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"6397",NA,"J. M. Pires",1956,12,17,"Brazil","ParÃ¡",NA,"Serra do Cachimbo.",0,0,NA,"4df012d0-2e60-43cc-a904-c9bbbf65555a",NA,"Virola malmei A.C.Sm."
"21","2015-04-11T13:46:26.000+0000","S","VascularPlants","S13-2258","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"2033a","2033a","G. O. A. Malme",1902,7,21,"Brazil","Mato Grosso",NA,"Brasiliae civit. Mato Grosso,, Santa Anna da Chapada",NA,NA,NA,"S:VascularPlants:S13-2258",NA,"Virola malmei A.C.Sm."
"23","2015-04-11T10:16:00.000+0000","S","VascularPlants","S04-167","Virola malmei A.C.Sm.","Myristicaceae","Virola","malmei","A.C.Sm.",NA,NA,"2033","2033","G. O. A. Malme",1902,7,21,"Brazil","Mato Grosso",NA,"Brasiliae civit. Mato Grosso,, Santa Anna da Chapada.",NA,NA,"Also paratype of Virola malmei A. C. Sm.","S:VascularPlants:S04-167",NA,"Virola malmei A.C.Sm."
