"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UESC","UESC","16110","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral",NA,NA,NA,7,"Nascimento, Francisca das C.G,",2013,4,6,"Brazil","Bahia","Una",NA,-39.034167,-14.340278,"Árvore, ca. 5,0 a 7,0m de altura.","BRA:UESC:UESC:0000016110","Eugenia lacistema Sobral"
"2",NA,"UnB","UB","207726","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","Faria, JEQ","2015-03-01T00:00:00.000+0000",NA,3484,"Matos, EN; Vidal, G; Santos, N",2012,5,1,"Brazil","Bahia","Valença","Faz. Bela Vista (Sr. Ubiratã)",-39.02,-13.256667,"Árvore. Flores brancas; Restinga. Floresta","BRA:UnB:UB:0000207726","Eugenia lacistema Sobral"
"3","2016-06-13T16:14:14.000+0000","JBRJ","RB","RB00316934","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","F.F. Mazine","2016-05-16T00:00:00.000+0000","PARATYPE",1321,"P. Fiaschi; J.L. Paixão, S.C. Sant´Ana e J.G. Jardim",2003,2,18,"Brazil","Bahia","Canavieiras","Entrada à direita, ca. 14 da estrada de Canavieiras para Una, ca. 3,2 Km da entrada. região do Cotovelo.",-38.966667,-15.55,"Árvore ca. 8 m alt. Folhas fortemente discolores. Botões florais creme, flores com pétalas alvas. frutos imaturos verde-claros.","urn:catalog:JBRJ:RB:316934","Eugenia lacistema Sobral"
"7",NA,"NY","NY","02715696","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","J. E. Q. de Faria","2014-02-01T00:00:00.000+0000",NA,2650,"A. M. Amorim",1998,11,11,"Brazil","Bahia",NA,"Rod. ItacarÃ© - IlhÃ©us, ca. 6 km a partir da sede do municipio. Assentamento da Marammbaia",-38.9965836192823,-14.2814954259902,NA,"c47a1451-b4aa-4c96-929a-14f93eb9900a","Eugenia lacistema Sobral"
"9",NA,"UFSJ","HUFSJ","5481","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","Sobral, M",NA,NA,114,"Jardim, JG; et al.",1993,4,15,"Brazil","Bahia","Una","Reserva Biológica do Mico-Leão (IBAMA). Entrada no Km 46 da Rodovia BA-001 Ilhéus/Una. Região da Mata Higrófila Sul Baiana.",-39.083333,-15.15,"Árvore de até 5m de altura. Folhas verdes concolores. Orvários esverdeados.","BRA:UFSJ:HUFSJ:0000005481","Eugenia lacistema Sobral"
"10",NA,"UFSJ","HUFSJ","5485","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","Sobral, M",NA,NA,165,"Jardim, JG; et al.",1993,7,13,"Brazil","Bahia","Una","Reserva Biológica do Mico-Leão (IBAMA). Entrada no Km 46 da Rodovia BA-001 Ilhéus/Una. Região da Mata Higrófila Sul Baiana.",0,0,"Árvore com 7m de altura. Folhas verde concolores. Frutos imaturos verdes, vermelhos quando maduros.","BRA:UFSJ:HUFSJ:0000005485","Eugenia lacistema Sobral"
"11","2018-06-12T11:22:50.000+0000","JBRJ","RB","RB00308156","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","M.Sobral",NA,"PARATYPE",193,"Jomar G.Jardim; Et all",1993,7,13,"Brazil","Bahia","Una","Reserva Biológica do Mico-Leão (IBAMA) entrada no km 46 da Rod.BA 001 Ilhéus/Una. Reserva Biológica do Mico-leão",-39.083333,-15.15,"Árvore com ca 8m de altura, folhas verdes concolores, frutos imaturos verdes","urn:catalog:JBRJ:RB:308156","Eugenia lacistema Sobral"
"15","2015-07-28T16:21:41.000+0000","JBRJ","RB","RB00309584","Eugenia lacistema Sobral","cf.","Myrtaceae","Eugenia","lacistema","Sobral","M. Sobral","2015-06-24T00:00:00.000+0000",NA,8900,"G. Martinelli; S. G. da Vinha, A. M. de Carvalho",1982,12,15,"Brazil","Bahia","Una","Estrada Una-Canavieiras, km 25.",NA,NA,"Pequena árvore com ramos delagados; folhas discolores; flores caulifloras de cor creme.","urn:catalog:JBRJ:RB:309584","Eugenia lacistema Sobral"
"16",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","59131","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","M. Sobral",NA,"PARATYPE",165,"J. G. Jardim",NA,NA,NA,"Brazil","Bahia","UNA","Reserva Bológica do Mico-leão (REBIO). (IBAMA). Entrada no Km 46 da Rod. BA-001 Ilhéus/Una.",-39.083333,-15.15,"Ambiente: Mata Higrófila. Habito: Árvore, 7m.","BRA:CEPLAC:CEPEC:0000059131","Eugenia lacistema Sobral"
"18",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","97609","Eugenia lacistema Sobral",NA,"Myrtaceae","Eugenia","lacistema","Sobral","M. Sobral",NA,"PARATYPE",1321,"P. Fiaschi",NA,NA,NA,"Brazil","Bahia","CANAVIEIRAS","Entrada a direita, ca. 14Km da estrada de Canavieiras/Una, ca. 3,2Km da entrada. Região do Cotovelo.",-38.966667,-15.55,"Ambiente: Mata. Habito: Árvore, ca. 8m.","BRA:CEPLAC:CEPEC:0000097609","Eugenia lacistema Sobral"
