"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","RB","RB01387637","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","H. Medeiros","2017-01-01","","2640","","H. Medeiros; Ilnaira G. Sousa, Elinio M. Soares, Raimundo N. Soares, Daniel S. Costa & Adriano S. Lima","2017","10","17","brazil","Acre","Sena Madureira","Reserva Extrativista do Cazumbá-Iracema, Programa de Monitoramente da Biodiversidade, Unidade Amostral 01 (Cazumbá), PÁ ""N"".","-68.951111","-9.168889","Árvore 11 m, estéril. Placa #41.","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"2","","","HERBAM","10956","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Rodrigues, L","2017-07-18","","068544","","Rodrigues, L; Lopes, A R; Sardinha, S M; Lourençoni, T","2014","8","11","brazil","Mato Grosso","Alta Floresta","Casa de Sementes - Estrela do Sul, Área seca, Quintal, Planície.","-55.880444","-9.793028","Projeto Sementes do Portal Fase 2.","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"3","","","HERBAM","10271","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","F.Citadella","2014-12-30","","CL 3038229","","Soares-Lopes, CRA; Lima, WM; Benetti, E; Fernandes, E; Filho, JI; Da Silva, WL","2014","12","22","brazil","Mato Grosso","Alta Floresta","PCH Cabeça-de-boi, Canteiro Industrial 02, Terra firme","-56.365843","-10.055171","Complexo Hidrelétrico Apiacás","","centroide mpo","GBIF","Aspidosperma carapanauba Pichon"
"4","","","UEC","198021","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Piva, J.H.","2011-10-18","","8229","","Soares, C.R.A.; et al.","2011","10","18","brazil","Mato Grosso","Paranaíta","","-56.776389","-9.337778","árvore de 17m de altura, cap 80cm, folhas discolor cartáceas, lactescentes. folículos imaturos, rugosos, imaturos verdes; terra firme","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"5","","","HERBAM","6830","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Soares, CRA","","","Verde 324115","","Soares, CRA; Duarte, JAS; Matos, DL; Oliveira, PS","2011","10","10","brazil","Mato Grosso","Paranaíta","Terra Firme.","-56.781667","-9.329167","UHE Teles Pires","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"6","","","HERBAM","6944","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Piva, JH","2011-10-18","","Amarelo 114301","","Soares, CRA; Matos, DL; Damasceno, ASV; Piva, JH; Petini-Benelli, A","2011","10","18","brazil","Mato Grosso","Paranaíta","Terra Firme.","-56.776389","-9.337778","UHE Teles Pires","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"7","","","UEC","198003","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Soares, C.R.A.","","","4115","","Soares, C.R.A.; et al.","2011","10","11","brazil","Mato Grosso do Sul","Paranaíba","","-56.781667","-9.329167","árvore com 25m de altura; cap: 45 cm. folhas discolor, cartácea. frutos secos, indeiscentes; terra firme","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"8","","","EAFM","425","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Kinupp, V.F.","2009-03-25","","3669","","Kinupp, V.F.; Ming, L.C.; Vieira, D.A.F. & Araújo, A.A.","2009","3","25","brazil","Amazonas","Santa Isabel do Rio Negro","Comunidade Camarú","-65.52098","-0.318629","Árvore; 12 m; folha verde-escura com ovos que a planta desenvolve e se transforma em uma galha; material estéril; de uso medicinal para malária.; Floresta de terra-firme. ; HA","","centroide mpo (0)","GBIF","Aspidosperma carapanauba Pichon"
"9","","","Herbarium","K000447737","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Sasaki , D.","","","1377","","Piva, J.H.; Henicka, G.S.; Monteiro, M.; Sasaki, D.; Nascimento, J.","2007","1","22","brazil","","Novo Mundo","Propriedade particular de preservação ambiental delimitada pelo Parque Estadual Cristalino e pelos rios Teles Pires e Cristalino. Próximo ao Cristalino Jungle Lodge.GPS :A 337","-55.92","-9.61","Common Name: guarantã","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"10","","","Herbarium","K000447738","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Ramos, J.F.","","","432","","Projeto Flora Cristalino; Piva, J.H.; Vieira, I.; Sasaki, D.","2006","9","27","brazil","","Novo Mundo","Área particular de preservação ambiental, delimitada pelo Parque Estadual Cristalino e pelos Rios Teles Pires e Cristalino. Nas proximidades da estrada de terra que leva à base do Limão.GPS :A 047","-55.89","-9.54","Common Name: guarantã","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"11","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","224065","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Phytodemographic Project","2006-01-01","","25","","Julịo, GR","2005","9","29","brazil","Amazonas","","Cabo Frio. Terra firme.","-59.91","-2.399583","","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"12","","","HPL","2129","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","R. Tsuji","2004-11-24","","932","","R. Tsuji , L.C. Bernacci & E. Franco","2004","11","24","brazil","Mt","Liquilândia","Coletada em beira de estrada na BR322.","-52.064472","-11.606056","","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"13","","","SPFW","3824","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","IPT","","","4","","Nunes, I.N.","2002","1","1","brazil","Rondônia","Costa Marques","Reserva Extrativista Estadual Rio Cautário","-64.131111","-11.994722","madeira usada para cabo e lenha, mais informações na pasta Resex","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"14","","","MBM","250388","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Marcondes-Ferreira Neto, W","1997-09-01","","4000","","Árbocz, GF; Ivanauskas, NM; Silva, MMR","1997","6","7","brazil","Mato Grosso","Alta Floresta","Adjacências do Hotel Floresta Amazônica.","-56.365843","-10.055171","Árvore 25m. Látex branco leitoso. Botões creme-esverdeados.; Floresta Ombrófila Aberta. Relevo suave ondulado. Solo tipo Podzólico.","","centroide mpo (0)","GBIF","Aspidosperma carapanauba Pichon"
"15","","","UEC","114299","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Marcondes-Ferreira, W.","2013-11-01","","4033","","Árbocz, G.F.; Assis, M.C.; Zanella, J.; Silva, M.R.","1997","7","3","brazil","Mato Grosso","Aripuanã","Margem da MT-420 a 5 km da cidade.","-59.407222","-10.208056","flor, Árvore de 22m. Tronco canelado. Látex branco leitoso. Folhas novas verdes-claras. Flores creme. Solo tipo podzólico.","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"16","","","SPF","126581","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","Oliveira, AA","1993-01-01","","261","","Oliveira, AA","1993","2","","brazil","Amazonas","Manaus","Reserva 1501 (km 41) do PDBFF. 90 km NNE de Manaus. Mata de terra firme.","-59.763889","-2.425278","Árvore no. 0512. DAP de 20,5 cm. Parcela 13-14. Estéril.","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"17","","","Herbarium","K000988451","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","","","","6522","","Lima, R.P. de; Ackerly, C.; Pirani, J.; Thomas, W.W.; Oliveira, J.G.; Cid Ferreira, C.A.; Coelho, J.A.","1985","10","17","brazil","","São Félix do Araguaia","Mt. Estr. da Faz. Sta. Cecília, a 15 km N do cruz. das estr. BR158 e MT-285 (Posto da Mata); 15km da BR 158.","-51.87","-11.2","Convênio CNPq/NSF (INPA - MPEG - New York Botanical Garden)","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"18","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","158591","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","","","","5296","","Silva, NT da","1983","6","3","brazil","Amapá","","Área do Felipe 03. Floresta primária de terra firme.","-52.3","-0.666667","","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
"19","","","Botany","WAG.1475835","Aspidosperma carapanauba Pichon","","Apocynaceae","Aspidosperma","carapanauba","","Pichon","","","","","","Mori S; et al.","1983","9","17","brazil","","","Brazil. Amapa: Camaipi. Embrapa reserve and vicinity.","-51.616667","-0.166667","","","original coordinates","GBIF","Aspidosperma carapanauba Pichon"
