"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","comments","bibliographicCitation"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","250454","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","Terra-Araujo, M.H.","2011-07-06T00:00:00.000+0000",NA,769,NA,"Ara̼jo, MHT",2011,7,6,"Brazil","Bahia",NA,"Estrada para Pedras de Una, Sentido Ilhéus -Una, entrada à esquerda, 200 m, beira de estrada.",-39.05,-15.27,NA,"urn:catalog:inpa:herbarium:231686","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","250456","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","Terra-Araujo, M.H.","2011-07-10T00:00:00.000+0000",NA,774,NA,"Ara̼jo, MHT",2011,7,10,"Brazil","Bahia",NA,"Estação Experimental Lemos Maia, CEPLAC., Sede da estação.",NA,NA,NA,"urn:catalog:inpa:herbarium:231688","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"3","2015-04-11T13:38:05.000+0000","S","VascularPlants","S12-14126","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves",NA,NA,NA,769,769,"M. T. Araújo, J. G. Carvalho-Sobrinho, J. Jardim & R. de O. Perdiz",2011,7,6,"Brazil","Bahia",NA,"Brazil, Bahia, Una, Astrada para Pedras de Una, sentido Ilhéus-Una, entrada à esquerda, 200 m beira de estrada.",-39.05,-15.27,"Voucher specimen.","S:VascularPlants:S12-14126","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"4",NA,"UEFS","HUEFS","142032","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","A.Alves-Araújo","2015-02-01T00:00:00.000+0000",NA,13816,NA,"Queiroz, L.P.de",2008,8,19,"Brazil","Bahia","Maraú","Estrada à direita para uma propriedade particular, a ca. 3,0Km da entrada da cidade de Maraú.",-39,-14.158889,"Fragmento de restinga arbórea.","BRA:UEFS:HUEFS:0000142032","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"5",NA,"UEFS","HUEFS","150688","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","A.Alves-Araújo","2015-02-01T00:00:00.000+0000",NA,1200,NA,"Queiroz, E.P.",2005,10,10,"Brazil","Bahia","Salvador","Bairro de São Marcos, Jardim Botânico de Salvador - JBSSA.",NA,NA,"Remanescente da Mata Atlântica.","BRA:UEFS:HUEFS:0000150688","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"6",NA,"NY","NY","634396","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves",NA,NA,"PARATYPE",6730,NA,"A. M. V. de Carvalho",1999,9,5,"Brazil","Bahia",NA,"Ca 8 km na estrada MaraÃº/ubaitaba",-39.0161,-14.165,NA,"37cb9db1-6dcd-47c1-82ce-9b4a7c7021b0","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"7",NA,"NY","NY","375777","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves",NA,NA,"PARATYPE",668,NA,"S. C. de Sant'Ana",1998,9,20,"Brazil","Bahia",NA,"Reserva Biologica do Mico-leao (IBAMA). Entradano km 46 da rod. BA-001 IlhÃ©us/Una. Trilha paralela a area de cacau cabruca, vizinho a reserva",-39.08,-15.15,NA,"71504517-dafe-44b1-aab6-9ff0f1498440","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"8",NA,"Instituto de Botânica, IBT","SP","260798","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves",NA,NA,"ISOTYPE",92,NA,"Jardim, JG; Amorim, AM; Sant'Ana, SC; Santos, EB; Hage, JL",1993,3,9,"Brazil","Bahia","Una","Reserva Biológica do Mico-leão, Entrada no Km 46 da Rod. BA-001 Ilhéus-Una",-39.083333,-15.15,NA,"BRA:IBt:SP:0000260798","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"9",NA,"UEFS","HUEFS","114101","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","C.E.Carneiro","2017-03-01T00:00:00.000+0000",NA,92,NA,"Jardim, J.G.",1993,3,9,"Brazil","Bahia","Una","Reserva Biológica do Mico-leão(IBAMA). Entrada no km 46 da rodovia BA-001 Ilhéus-Una. Região da mata higrófila Sul Baiana.",NA,NA,NA,"BRA:UEFS:HUEFS:0000114101","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"10",NA,"NY","NY","585395","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves",NA,NA,"ISOTYPE",92,NA,"J. G. Jardim",1993,3,9,"Brazil","Bahia",NA,"Reserva BiolÃ³gica do Mico-leÃ£o (IBAMA). Entrada no km 46 da Rod. BA-001 IlhÃ©us/Una",-39.08,-15.15,NA,"80deed91-74ad-40f8-ab17-4b39a00b0c0f","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"11",NA,"NY","NY","885024","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves",NA,NA,"PARATYPE",1424,NA,"A. M. Amorim",1993,11,9,"Brazil","Bahia",NA,"Reserva BiolÃ³gica do Mico-leÃ£o (IBAMA). Entrada no km 46 da Rod. NA-001 IlhÃ©us/Una. Coletas efetuadas na estrada que leva Ã  Sede da Reserva.",-39.08,-15.15,NA,"126fc269-df38-4b97-929a-5972f16f60e6","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"12","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","98595","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","Terra-Araujo, M.H.","2013-07-09T00:00:00.000+0000",NA,48,NA,NA,1980,10,24,"Brazil","Bahia",NA,"Estaçao Experimental Lemos Maia. CEPLAC. Ao lado da sede nova da estaçao.",NA,NA,NA,"urn:catalog:inpa:herbarium:167882","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"13",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","22528","Pradosia longipedicellata subsp. alves","Sapotaceae","Pradosia","longipedicellata","alves","subsp. alves","Brittonia, 64(1), pp. 23-29",NA,"PARATYPE",1166,NA,"L. A. M. Silva",NA,NA,NA,"Brazil","Bahia","ILHÉUS","Fazenda Guanabara. Ramal com entrada no Km 10 da Rod. Pontal/Olivença, à direita. Coletas a 3Km a Oeste da entrada.",NA,NA,"Ambiente: Mata. Solo arenoso. Habito: Árvore, 4m.","BRA:CEPLAC:CEPEC:0000022528","Pradosia longipedicellata subsp. alves",NA,NA,NA
"14",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","57469","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","Brittonia, 64(1), pp. 23-29",NA,NA,92,NA,"J. G. Jardim",NA,NA,NA,"Brazil","Bahia","UNA","Reserva Biológica do Mico-leão (REBIO). (IBAMA). Entrada no KM 46 BA-001 Ilheus/Uma.",-39.083333,-15.15,"Ambiente: Mata Higrofila. Habito: Árvore, ca. 17m.","BRA:CEPLAC:CEPEC:0000057469","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"15",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","47499","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","Brittonia, 64(1), pp. 23-29",NA,"PARATYPE",4554,NA,"T. S. dos Santos",NA,NA,NA,"Brazil","Bahia","MARAÚ","Km 48 a 50 na estr. Ubaitaba/Maraú.",NA,NA,"Ambiente: Mata de restinga. Habito: Árvore. Látex branco","BRA:CEPLAC:CEPEC:0000047499","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
"16",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","83705","Pradosia longipedicellata Alves-Araújo & M.Alves","Sapotaceae","Pradosia","longipedicellata",NA,"Alves-Araújo & M.Alves","Brittonia, 64(1), pp. 23-29",NA,"PARATYPE",6730,NA,"A. M. de Carvalho",NA,NA,NA,"Brazil","Bahia","MARAÚ","Ca. 8Km na estrada Maraú/Ubaitaba.",-39.016111,-14.165,"Ambiente: Campos e Mata de Restinga. Habito: Árvore, ca. 10m. Látex branco","BRA:CEPLAC:CEPEC:0000083705","Pradosia longipedicellata Alves-Araújo & M.Alves",NA,NA,NA
