"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256575","Pouteria maxima T.D.Penn.","cf.","Sapotaceae","Pouteria","maxima","T.D.Penn.","Ramos, J.F.","2014-05-26T00:00:00.000+0000","3336",NA,"Mike Hopkins",2012,10,22,"Brazil","Pará",NA,"Rio Tapajós - Crepori, Margem direita do Rio Tapajós",-57.22,-5.864722,NA,"urn:catalog:inpa:herbarium:244741","Pouteria maxima T.D.Penn."
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","256824","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.","Ramos, J.F.","2013-01-24T00:00:00.000+0000","3587",NA,"Mike Hopkins",2012,11,20,"Brazil","Pará",NA,"Rio Tapajós - Terra Preta - Penedo, Margem esquerda do Rio Tapajós",-57.28,-5.619722,NA,"urn:catalog:inpa:herbarium:245012","Pouteria maxima T.D.Penn."
"3",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15077","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.","Marra, D.M.","2011-09-15T00:00:00.000+0000","694",NA,"Marra, D.M.; Neves, A.F. & Souza, I.G.",2011,9,15,"Brazil","Amazonas","Manaus, Presidente Figueiredo","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-60.289864,-2.429794,"árvore, DAP = 17.1 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015077","Pouteria maxima T.D.Penn."
"4",NA,"Universidade Estadual de Londrina, UEL","FUEL","53629","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.","Faria, AD","2007-06-01T00:00:00.000+0000","2007/01",NA,"Faria, AD; Ribeiro, JELS",2007,6,5,"Brazil","Amazonas","Manaus","Reserva Ducke",0,0,"Árvore nº 4462; Floresta Amazônica","BRA:UEL:FUEL:0000053629","Pouteria maxima T.D.Penn."
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232957","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.",NA,NA,"335",NA,"Mike Hopkins",2003,2,11,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O3, km 4.5.",-59.55,-2.5621,NA,"urn:catalog:inpa:herbarium:215113","Pouteria maxima T.D.Penn."
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","233006","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.",NA,NA,"742",NA,"Mike Hopkins",2002,10,2,"Brazil","Amazonas",NA,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O5, km 0.5. Solo arenoso.",-59.96,-2.962611,NA,"urn:catalog:inpa:herbarium:215500","Pouteria maxima T.D.Penn."
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232808","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.",NA,NA,"27",NA,"Mike Hopkins",2001,3,29,"Brazil","Amazonas",NA,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O1, km 0. Solo argiloso.",-59.97,-2.92761,NA,"urn:catalog:inpa:herbarium:215058","Pouteria maxima T.D.Penn."
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","188949","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.","Pennington, T.D.","1998-03-01T00:00:00.000+0000","1868",NA,"Mike Hopkins",1997,2,24,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:153917","Pouteria maxima T.D.Penn."
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191023","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.","Pennington, T.D.","1998-03-01T00:00:00.000+0000","982",NA,"Mike Hopkins",1997,5,15,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:188518","Pouteria maxima T.D.Penn."
"11","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","188951","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.","Pennington, T.D.","1998-03-01T00:00:00.000+0000","1203",NA,"Mike Hopkins",1996,12,4,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Igarapé do Barro Branco a montante do alojamento.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:201903","Pouteria maxima T.D.Penn."
"13","2015-04-11T13:09:38.000+0000","S","VascularPlants","S10-35121","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.",NA,NA,"189",189,"Souza & Assunção",1995,12,12,"Brazil","Amazonas",NA,"Brazil, Amazonas, Manaus: Reserva Florestal Ducke.",-59.97,-2.88,NA,"S:VascularPlants:S10-35121","Pouteria maxima T.D.Penn."
"15","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","175846","Pouteria maxima T.D.Penn.",NA,"Sapotaceae","Pouteria","maxima","T.D.Penn.",NA,NA,"3304.274.2",NA,"Mike Hopkins",1989,9,21,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Ca 90 km N de Manaus, Distrito Agropecuario da Suframa, Rodovia BR-174, depois 7 km leste na ZF-3, Fazenda Porto Alegre. Reserva nº 3304, Arvore nº 274.",-59,-2.366667,NA,"urn:catalog:inpa:herbarium:183595","Pouteria maxima T.D.Penn."
